,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
891,Hyundai Creta 1.6 CRDi SX,2016,535000.0,52600.0,Diesel,Individual,Manual,First Owner,Hyundai
903,Hyundai Creta 1.6 CRDi SX,2016,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,Hyundai
905,Hyundai Creta 1.6 CRDi SX,2016,927999.0,90000.0,Diesel,Individual,Manual,First Owner,Hyundai
906,Hyundai Creta 1.6 CRDi SX,2016,1151000.0,85000.0,Diesel,Individual,Manual,First Owner,Hyundai
907,Hyundai Creta 1.6 CRDi SX,2017,1260000.0,39221.0,Diesel,Dealer,Manual,First Owner,Hyundai
908,Hyundai Creta 1.6 CRDi SX Option,2015,950000.0,60000.0,Diesel,Individual,Manual,First Owner,Hyundai
909,Hyundai Creta 1.6 CRDi SX Option,2015,1025000.0,90000.0,Diesel,Individual,Manual,Second Owner,Hyundai
910,Hyundai Creta 1.6 CRDi SX Option,2016,865000.0,90000.0,Diesel,Individual,Manual,First Owner,Hyundai
911,Hyundai Creta 1.6 CRDi SX Option,2016,1300000.0,55000.0,Diesel,Individual,Manual,First Owner,Hyundai
912,Hyundai Creta 1.6 CRDi SX Option,2018,1490000.0,20694.0,Diesel,Dealer,Manual,First Owner,Hyundai
914,Hyundai Creta 1.6 CRDi SX Plus,2015,850000.0,84000.0,Diesel,Dealer,Manual,First Owner,Hyundai
916,Hyundai Creta 1.6 CRDi SX Plus,2016,1249000.0,60000.0,Diesel,Individual,Manual,Third Owner,Hyundai
917,Hyundai Creta 1.6 CRDi SX Plus,2018,1250000.0,30000.0,Diesel,Individual,Manual,First Owner,Hyundai
918,Hyundai Creta 1.6 E Plus,2018,850000.0,12500.0,Petrol,Individual,Manual,First Owner,Hyundai
919,Hyundai Creta 1.6 Gamma SX Plus,2015,821000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
920,Hyundai Creta 1.6 SX,2019,1200000.0,1744.08,Petrol,Individual,Manual,First Owner,Hyundai
921,Hyundai Creta 1.6 SX Automatic,2017,1035000.0,23000.0,Petrol,Dealer,Automatic,First Owner,Hyundai
922,Hyundai Creta 1.6 SX Automatic Diesel,2015,1150000.0,54634.0,Diesel,Trustmark Dealer,Automatic,Second Owner,Hyundai
924,Hyundai Creta 1.6 SX Option,2017,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,Hyundai
926,Hyundai Creta 1.6 SX Option,2018,1200000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai
927,Hyundai Creta 1.6 VTVT AT SX Plus,2018,1475000.0,11700.0,Petrol,Dealer,Automatic,First Owner,Hyundai
929,Hyundai Creta 1.6 VTVT S,2015,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
932,Hyundai Creta 1.6 VTVT S,2017,900000.0,14700.0,Petrol,Individual,Manual,First Owner,Hyundai
933,Hyundai Elantra 2.0 SX AT,2018,1575000.0,10000.0,Petrol,Individual,Automatic,First Owner,Hyundai
934,Hyundai Elantra CRDi (Leather Option),2006,125000.0,120000.0,Diesel,Individual,Manual,Third Owner,Hyundai
935,Hyundai Elantra CRDi S,2012,625000.0,40000.0,Diesel,Individual,Manual,First Owner,Hyundai
936,Hyundai Elantra CRDi S,2013,650000.0,54000.0,Diesel,Dealer,Manual,First Owner,Hyundai
937,Hyundai Elantra CRDi SX,2014,650000.0,30000.0,Diesel,Individual,Manual,Second Owner,Hyundai
938,Hyundai Elantra SX,2015,700000.0,48000.0,Petrol,Dealer,Manual,First Owner,Hyundai
939,Hyundai Elite i20 Asta Option BSIV,2019,800000.0,11240.0,Petrol,Individual,Manual,First Owner,Hyundai
941,Hyundai Elite i20 Asta Option CVT BSIV,2017,635000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Hyundai
942,Hyundai Elite i20 Asta Option CVT BSIV,2019,720000.0,3000.0,Petrol,Individual,Automatic,First Owner,Hyundai
944,Hyundai Elite i20 Diesel Asta Option,2018,815000.0,42000.0,Diesel,Individual,Manual,First Owner,Hyundai
945,Hyundai Elite i20 Diesel Asta Option,2019,819999.0,40000.0,Diesel,Individual,Manual,First Owner,Hyundai
946,Hyundai Elite i20 Diesel Era,2019,650000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai
947,Hyundai Elite i20 Magna Plus BSIV,2020,545000.0,7300.0,Petrol,Individual,Manual,First Owner,Hyundai
948,Hyundai Elite i20 Magna Plus Diesel,2019,730000.0,35000.0,Diesel,Individual,Manual,Second Owner,Hyundai
949,Hyundai Elite i20 Petrol Asta Option,2018,700000.0,27000.0,Petrol,Individual,Manual,First Owner,Hyundai
950,Hyundai Elite i20 Petrol Magna Exective,2018,550000.0,11000.0,Petrol,Individual,Manual,First Owner,Hyundai
951,Hyundai Elite i20 Sportz Plus BSIV,2015,550000.0,49000.0,Petrol,Individual,Manual,First Owner,Hyundai
952,Hyundai Elite i20 Sportz Plus BSIV,2019,650000.0,13500.0,Petrol,Individual,Manual,First Owner,Hyundai
953,Hyundai Elite i20 Sportz Plus BSIV,2019,721000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai
954,Hyundai Elite i20 Sportz Plus CVT BSIV,2019,738000.0,8000.0,Petrol,Individual,Automatic,First Owner,Hyundai
955,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,600000.0,5200.0,Petrol,Individual,Manual,First Owner,Hyundai
956,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai
957,Hyundai EON 1.0 Era Plus,2012,225000.0,48000.0,Petrol,Dealer,Manual,First Owner,Hyundai
959,Hyundai EON 1.0 Era Plus,2014,229999.0,65000.0,Petrol,Dealer,Manual,First Owner,Hyundai
960,Hyundai EON 1.0 Era Plus,2017,280000.0,28838.0,Petrol,Individual,Manual,First Owner,Hyundai
962,Hyundai EON 1.0 Era Plus,2018,100000.0,21302.0,Petrol,Individual,Manual,First Owner,Hyundai
964,Hyundai EON 1.0 Era Plus,2019,400000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai
965,Hyundai EON 1.0 Kappa Magna Plus,2015,160000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai
967,Hyundai EON 1.0 Kappa Magna Plus,2015,170000.0,80000.0,Petrol,Individual,Manual,Second Owner,Hyundai
968,Hyundai EON D Lite,2014,180000.0,76000.0,Petrol,Individual,Manual,Second Owner,Hyundai
969,Hyundai EON D Lite,2016,210000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
972,Hyundai EON D Lite,2016,275000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
973,Hyundai EON D Lite Plus,2012,160000.0,70000.0,Petrol,Individual,Manual,Second Owner,Hyundai
974,Hyundai EON D Lite Plus,2012,204999.0,60000.0,Petrol,Dealer,Manual,Third Owner,Hyundai
975,Hyundai EON D Lite Plus,2013,229999.0,13500.0,Petrol,Individual,Manual,First Owner,Hyundai
976,Hyundai EON D Lite Plus,2015,235000.0,40903.0,Petrol,Dealer,Manual,First Owner,Hyundai
977,Hyundai EON D Lite Plus,2015,250000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
978,Hyundai EON Era,2011,254999.0,24000.0,Petrol,Dealer,Manual,First Owner,Hyundai
979,Hyundai EON Era,2014,290000.0,12000.0,Petrol,Dealer,Manual,First Owner,Hyundai
980,Hyundai EON Era Plus,2012,160000.0,70000.0,Petrol,Individual,Manual,Third Owner,Hyundai
981,Hyundai EON Era Plus,2012,200000.0,46000.0,Petrol,Individual,Manual,First Owner,Hyundai
982,Hyundai EON Era Plus,2012,215000.0,70000.0,Petrol,Individual,Manual,Second Owner,Hyundai
983,Hyundai EON Era Plus,2012,235000.0,54000.0,Petrol,Dealer,Manual,First Owner,Hyundai
984,Hyundai EON Era Plus,2013,160000.0,80000.0,Petrol,Individual,Manual,First Owner,Hyundai
986,Hyundai EON Era Plus,2013,170000.0,80000.0,Petrol,Individual,Manual,Third Owner,Hyundai
987,Hyundai EON Era Plus,2013,200000.0,24005.0,Petrol,Individual,Manual,First Owner,Hyundai
988,Hyundai EON Era Plus,2013,200000.0,120000.0,Petrol,Individual,Manual,First Owner,Hyundai
989,Hyundai EON Era Plus,2013,219000.0,53500.0,Petrol,Individual,Manual,Third Owner,Hyundai
990,Hyundai EON Era Plus,2013,250000.0,35000.0,Petrol,Individual,Manual,First Owner,Hyundai
991,Hyundai EON Era Plus,2013,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,Hyundai
993,Hyundai EON Era Plus,2014,190000.0,40000.0,Petrol,Individual,Manual,Second Owner,Hyundai
994,Hyundai EON Era Plus,2014,190000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
995,Hyundai EON Era Plus,2014,210000.0,70000.0,Petrol,Individual,Manual,Third Owner,Hyundai
996,Hyundai EON Era Plus,2014,225000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
997,Hyundai EON Era Plus,2014,260000.0,37605.0,Petrol,Dealer,Manual,First Owner,Hyundai
999,Hyundai EON Era Plus,2015,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai
1001,Hyundai EON Era Plus,2015,225000.0,80000.0,Petrol,Individual,Manual,First Owner,Hyundai
1002,Hyundai EON Era Plus,2015,250000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1003,Hyundai EON Era Plus,2015,295000.0,21000.0,Petrol,Dealer,Manual,Second Owner,Hyundai
1005,Hyundai EON Era Plus,2016,320000.0,24662.0,Petrol,Dealer,Manual,First Owner,Hyundai
1007,Hyundai EON Era Plus,2017,250000.0,19000.0,Petrol,Individual,Manual,First Owner,Hyundai
1008,Hyundai EON Era Plus,2017,290000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1010,Hyundai EON Era Plus,2018,270000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1011,Hyundai EON Era Plus,2018,300000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1012,Hyundai EON Era Plus,2018,325000.0,20629.0,Petrol,Dealer,Manual,First Owner,Hyundai
1013,Hyundai EON Era Plus,2018,350000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai
1014,Hyundai EON Era Plus,2018,350000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1015,Hyundai EON Era Plus Option,2014,265000.0,55000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1017,Hyundai EON Era Plus Option,2016,250000.0,30000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1018,Hyundai EON Era Plus Option,2017,315000.0,18469.0,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai
1019,Hyundai EON Era Plus Sports Edition,2014,280000.0,55000.0,Petrol,Individual,Manual,First Owner,Hyundai
1021,Hyundai EON LPG Magna Plus,2012,170000.0,170000.0,LPG,Individual,Manual,Third Owner,Hyundai
1022,Hyundai EON LPG Magna Plus,2012,180000.0,90000.0,LPG,Individual,Manual,First Owner,Hyundai
1023,Hyundai EON LPG Magna Plus,2015,240000.0,110000.0,LPG,Individual,Manual,First Owner,Hyundai
1024,Hyundai EON Magna,2012,225000.0,53122.0,Petrol,Dealer,Manual,Second Owner,Hyundai
1025,Hyundai EON Magna,2012,250000.0,44588.0,Petrol,Dealer,Manual,First Owner,Hyundai
1026,Hyundai EON Magna Optional,2015,300000.0,22000.0,Petrol,Individual,Manual,First Owner,Hyundai
1027,Hyundai EON Magna Optional,2015,300000.0,20500.0,Petrol,Individual,Manual,First Owner,Hyundai
1028,Hyundai EON Magna Plus,2012,170000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai
1029,Hyundai EON Magna Plus,2012,245000.0,14987.0,Petrol,Dealer,Manual,First Owner,Hyundai
1030,Hyundai EON Magna Plus,2013,125000.0,205000.0,Petrol,Individual,Manual,First Owner,Hyundai
1031,Hyundai EON Magna Plus,2013,250000.0,40000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1032,Hyundai EON Magna Plus,2014,220000.0,42000.0,Petrol,Individual,Manual,First Owner,Hyundai
1033,Hyundai EON Magna Plus,2014,240000.0,73300.0,Petrol,Dealer,Manual,Second Owner,Hyundai
1034,Hyundai EON Magna Plus,2014,320000.0,80000.0,Petrol,Individual,Manual,First Owner,Hyundai
1036,Hyundai EON Magna Plus,2015,245000.0,32000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1038,Hyundai EON Magna Plus,2015,250000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1039,Hyundai EON Magna Plus,2016,220000.0,43700.0,Petrol,Individual,Manual,First Owner,Hyundai
1041,Hyundai EON Magna Plus,2016,229999.0,80000.0,Petrol,Individual,Manual,First Owner,Hyundai
1043,Hyundai EON Magna Plus,2018,229999.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1045,Hyundai EON Magna Plus,2018,245000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1046,Hyundai EON Magna Plus,2018,300000.0,31000.0,Petrol,Individual,Manual,First Owner,Hyundai
1047,Hyundai EON Magna Plus,2018,300000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1049,Hyundai EON Magna Plus,2018,310000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1050,Hyundai EON Magna Plus,2018,360000.0,6000.0,Petrol,Individual,Manual,First Owner,Hyundai
1052,Hyundai EON Magna Plus Option,2018,320000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1053,Hyundai EON Sportz,2012,150000.0,55766.0,Petrol,Individual,Manual,Second Owner,Hyundai
1054,Hyundai EON Sportz,2012,150000.0,80000.0,Petrol,Individual,Manual,First Owner,Hyundai
1056,Hyundai EON Sportz,2016,340000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1057,Hyundai Getz 1.3 GLS,2008,110000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1058,Hyundai Getz 1.3 GLS,2008,210000.0,53772.0,Petrol,Individual,Manual,First Owner,Hyundai
1059,Hyundai Getz 1.3 GLS,2010,150000.0,105546.0,Petrol,Individual,Manual,First Owner,Hyundai
1060,Hyundai Getz 1.3 GVS,2010,110000.0,110000.0,Petrol,Individual,Manual,First Owner,Hyundai
1061,Hyundai Getz 1.5 CRDi GVS,2008,110000.0,154000.0,Diesel,Individual,Manual,Third Owner,Hyundai
1063,Hyundai Getz 1.5 CRDi GVS,2008,235000.0,60208.0,Diesel,Dealer,Manual,First Owner,Hyundai
1064,Hyundai Getz GL,2006,130000.0,80000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1065,Hyundai Getz GLE,2007,110000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai
1066,Hyundai Getz GLS,2005,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1067,Hyundai Getz GLS,2005,250000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai
1069,Hyundai Getz GLS,2007,95000.0,120000.0,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai
1070,Hyundai Getz GLS ABS,2005,71000.0,22000.0,Petrol,Individual,Manual,First Owner,Hyundai
1071,Hyundai Getz GLX,2005,70000.0,90000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1072,Hyundai Getz GLX,2007,110000.0,90000.0,Petrol,Individual,Manual,First Owner,Hyundai
1073,Hyundai Grand i10 1.2 CRDi Asta,2018,465000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai
1076,Hyundai Grand i10 1.2 CRDi Asta,2019,700000.0,8000.0,Diesel,Individual,Manual,First Owner,Hyundai
1077,Hyundai Grand i10 1.2 CRDi Asta,2019,755000.0,8000.0,Diesel,Individual,Manual,First Owner,Hyundai
1078,Hyundai Grand i10 1.2 CRDi Magna,2015,350000.0,61658.0,Diesel,Dealer,Manual,First Owner,Hyundai
1079,Hyundai Grand i10 1.2 CRDi Magna,2016,425000.0,42500.0,Diesel,Dealer,Manual,First Owner,Hyundai
1080,Hyundai Grand i10 1.2 CRDi Sportz Option,2017,509999.0,44000.0,Diesel,Dealer,Manual,First Owner,Hyundai
1081,Hyundai Grand i10 1.2 CRDi Sportz Option,2017,575000.0,27005.0,Diesel,Dealer,Manual,First Owner,Hyundai
1083,Hyundai Grand i10 1.2 Kappa Asta,2017,475000.0,42000.0,Petrol,Individual,Manual,First Owner,Hyundai
1084,Hyundai Grand i10 1.2 Kappa Asta,2017,500000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
1085,Hyundai Grand i10 1.2 Kappa Asta,2017,500000.0,26500.0,Petrol,Individual,Manual,First Owner,Hyundai
1088,Hyundai Grand i10 1.2 Kappa Asta,2017,550000.0,3917.0,Petrol,Individual,Manual,First Owner,Hyundai
1089,Hyundai Grand i10 1.2 Kappa Asta,2018,500000.0,32000.0,Petrol,Individual,Manual,First Owner,Hyundai
1091,Hyundai Grand i10 1.2 Kappa Asta,2019,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai
1093,Hyundai Grand i10 1.2 Kappa Asta,2019,500000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai
1094,Hyundai Grand i10 1.2 Kappa Asta,2019,600000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai
1095,Hyundai Grand i10 1.2 Kappa Era,2015,434999.0,29000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1096,Hyundai Grand i10 1.2 Kappa Magna AT,2017,450000.0,12700.0,Petrol,Individual,Automatic,First Owner,Hyundai
1097,Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000.0,19890.0,Petrol,Dealer,Automatic,First Owner,Hyundai
1109,Hyundai Grand i10 1.2 Kappa Magna AT,2019,650000.0,20000.0,Petrol,Individual,Automatic,First Owner,Hyundai
1110,Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,486000.0,26500.0,Petrol,Individual,Manual,First Owner,Hyundai
1111,Hyundai Grand i10 1.2 Kappa Magna BSIV,2018,475000.0,23000.0,Petrol,Individual,Manual,First Owner,Hyundai
1112,Hyundai Grand i10 1.2 Kappa Magna BSIV,2019,525000.0,9400.0,Petrol,Individual,Manual,First Owner,Hyundai
1113,Hyundai Grand i10 1.2 Kappa Magna BSIV,2020,545000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai
1114,Hyundai Grand i10 1.2 Kappa Sportz AT,2018,550000.0,35000.0,Petrol,Individual,Automatic,First Owner,Hyundai
1115,Hyundai Grand i10 1.2 Kappa Sportz AT,2019,600000.0,1744.08,Petrol,Individual,Automatic,First Owner,Hyundai
1116,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000.0,28643.0,Petrol,Dealer,Manual,First Owner,Hyundai
1117,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,450000.0,6000.0,Petrol,Individual,Manual,First Owner,Hyundai
1119,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,600000.0,2500.0,Petrol,Individual,Manual,First Owner,Hyundai
1120,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,500000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai
1121,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1123,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,325000.0,35299.0,Petrol,Dealer,Manual,First Owner,Hyundai
1124,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,550000.0,31000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1125,Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000.0,44000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1127,Hyundai Grand i10 1.2 Kappa Sportz Option,2017,525000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai
1128,Hyundai Grand i10 Asta,2014,341000.0,31491.0,Petrol,Individual,Manual,First Owner,Hyundai
1129,Hyundai Grand i10 Asta,2014,450000.0,80000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1130,Hyundai Grand i10 Asta,2016,550000.0,45457.0,Petrol,Dealer,Manual,First Owner,Hyundai
1131,Hyundai Grand i10 Asta,2017,550000.0,9748.0,Petrol,Dealer,Manual,First Owner,Hyundai
1133,Hyundai Grand i10 Asta Option,2015,490000.0,31080.0,Petrol,Dealer,Manual,First Owner,Hyundai
1135,Hyundai Grand i10 Asta Option,2017,495000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai
1136,Hyundai Grand i10 Asta Option,2017,540000.0,20000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1138,Hyundai Grand i10 Asta Option,2017,595000.0,27000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1139,Hyundai Grand i10 Asta Option AT,2017,525000.0,19000.0,Petrol,Dealer,Automatic,First Owner,Hyundai
1140,Hyundai Grand i10 AT Asta,2015,400000.0,30000.0,Petrol,Individual,Automatic,First Owner,Hyundai
1141,Hyundai Grand i10 AT Asta,2015,465000.0,63063.0,Petrol,Dealer,Automatic,First Owner,Hyundai
1142,Hyundai Grand i10 CRDi Asta,2015,300000.0,70000.0,Diesel,Individual,Manual,First Owner,Hyundai
1143,Hyundai Grand i10 CRDi Asta Option,2015,450000.0,50000.0,Diesel,Individual,Manual,First Owner,Hyundai
1144,Hyundai Grand i10 CRDi Magna,2013,320000.0,73000.0,Diesel,Individual,Manual,First Owner,Hyundai
1145,Hyundai Grand i10 CRDi Magna,2015,300000.0,60000.0,Diesel,Individual,Manual,Second Owner,Hyundai
1146,Hyundai Grand i10 CRDi Magna,2017,490000.0,66000.0,Diesel,Dealer,Manual,First Owner,Hyundai
1149,Hyundai Grand i10 CRDi Sportz,2014,390000.0,70000.0,Diesel,Individual,Manual,Second Owner,Hyundai
1150,Hyundai Grand i10 CRDi Sportz,2015,325000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai
1151,Hyundai Grand i10 CRDi Sportz,2015,390000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai
1152,Hyundai Grand i10 CRDi Sportz,2015,400000.0,42000.0,Diesel,Individual,Manual,First Owner,Hyundai
1153,Hyundai Grand i10 CRDi Sportz,2015,409999.0,58000.0,Diesel,Individual,Manual,First Owner,Hyundai
1154,Hyundai Grand i10 CRDi Sportz,2015,450000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai
1155,Hyundai Grand i10 Magna,2015,320000.0,70000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1156,Hyundai Grand i10 Magna,2015,325000.0,25000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1157,Hyundai Grand i10 Magna,2015,390000.0,90000.0,Petrol,Individual,Manual,First Owner,Hyundai
1158,Hyundai Grand i10 Magna,2017,480000.0,53261.0,Petrol,Dealer,Manual,First Owner,Hyundai
1159,Hyundai Grand i10 Magna AT,2017,520000.0,10510.0,Petrol,Dealer,Automatic,First Owner,Hyundai
1170,Hyundai Grand i10 Nios AMT Magna,2020,640000.0,4000.0,Petrol,Individual,Automatic,First Owner,Hyundai
1171,Hyundai Grand i10 Nios Magna CRDi,2020,700000.0,1744.08,Diesel,Individual,Manual,First Owner,Hyundai
1172,Hyundai Grand i10 Nios Sportz,2020,600000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai
1173,Hyundai Grand i10 Sportz,2014,300000.0,120000.0,Petrol,Individual,Manual,First Owner,Hyundai
1174,Hyundai Grand i10 Sportz,2014,400000.0,48000.0,Petrol,Individual,Manual,First Owner,Hyundai
1175,Hyundai Grand i10 Sportz,2014,400000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1176,Hyundai Grand i10 Sportz,2015,300000.0,90000.0,Petrol,Individual,Manual,First Owner,Hyundai
1177,Hyundai Grand i10 Sportz,2015,350000.0,90000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1178,Hyundai Grand i10 Sportz,2015,400000.0,61690.0,Petrol,Dealer,Manual,First Owner,Hyundai
1179,Hyundai Grand i10 Sportz,2015,425000.0,12000.0,Petrol,Individual,Manual,First Owner,Hyundai
1181,Hyundai Grand i10 Sportz,2016,350000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1182,Hyundai Grand i10 Sportz,2016,375000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai
1183,Hyundai Grand i10 Sportz,2016,420000.0,44440.0,Petrol,Individual,Manual,Second Owner,Hyundai
1184,Hyundai Grand i10 Sportz,2017,375000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai
1185,Hyundai i10 Asta AT,2011,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,Hyundai
1186,Hyundai i10 Era,2008,125000.0,102000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1187,Hyundai i10 Era,2009,140000.0,80000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1188,Hyundai i10 Era,2009,250000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
1190,Hyundai i10 Era,2011,175000.0,139000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1191,Hyundai i10 Era,2012,229999.0,45000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1192,Hyundai i10 Era,2012,280000.0,30000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1193,Hyundai i10 Era,2013,265000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
1194,Hyundai i10 Era 1.1,2008,125000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai
1195,Hyundai i10 Era 1.1,2008,160000.0,110000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1196,Hyundai i10 Era 1.1,2009,120000.0,120000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1197,Hyundai i10 Era 1.1,2009,270000.0,27633.0,Petrol,Individual,Manual,First Owner,Hyundai
1198,Hyundai i10 Era 1.1 iTech SE,2011,147000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1199,Hyundai i10 Era 1.1 iTech SE,2011,235000.0,46000.0,Petrol,Individual,Manual,First Owner,Hyundai
1200,Hyundai i10 Era 1.1 iTech SE,2011,300000.0,20000.0,Petrol,Individual,Manual,First Owner,Hyundai
1201,Hyundai i10 Magna,2008,140000.0,103921.0,Petrol,Individual,Manual,Second Owner,Hyundai
1202,Hyundai i10 Magna,2008,195000.0,56000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1203,Hyundai i10 Magna,2009,235000.0,67067.0,Petrol,Dealer,Manual,First Owner,Hyundai
1204,Hyundai i10 Magna,2011,250000.0,28000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1205,Hyundai i10 Magna,2012,210000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai
1207,Hyundai i10 Magna,2012,229999.0,49824.0,Petrol,Dealer,Manual,First Owner,Hyundai
1218,Hyundai i10 Magna,2012,240000.0,40000.0,Petrol,Dealer,Manual,First Owner,Hyundai
1220,Hyundai i10 Magna,2012,250000.0,60000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1221,Hyundai i10 Magna,2014,355000.0,39227.0,Petrol,Dealer,Manual,First Owner,Hyundai
1223,Hyundai i10 Magna 1.1,2008,100000.0,60000.0,Petrol,Individual,Manual,Second Owner,Hyundai
1224,Hyundai i10 Magna 1.1,2008,120000.0,90000.0,Petrol,Individual,Manual,First Owner,Hyundai
1225,Hyundai i10 Magna 1.1,2008,150000.0,90000.0,Petrol,Individual,Manual,Third Owner,Hyundai
1226,Hyundai i10 Magna 1.1,2008,155000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai
1227,Hyundai i10 Magna 1.1 iTech SE,2015,300000.0,48000.0,Petrol,Dealer,Manual,First Owner,Hyundai
